support,itemsets
0.1075,Faixa_horaria:MADRUGADA
0.1617,Faixa_horaria:MANHÃ
0.3232,Faixa_horaria:NOITE
0.4074,Faixa_horaria:TARDE
0.0724,Fase_operacao:APROXIMAÇÃO FINAL
0.0653,Fase_operacao:CORRIDA APÓS POUSO
0.1596,Fase_operacao:CRUZEIRO
0.1724,Fase_operacao:DECOLAGEM
0.1959,Fase_operacao:POUSO
0.0737,Fase_operacao:SUBIDA
0.0644,Fase_operacao:TÁXI
0.0920,Mes:ABRIL
0.0749,Mes:AGOSTO
0.0798,Mes:DEZEMBRO
0.0999,Mes:FEVEREIRO
0.1024,Mes:JANEIRO
0.0712,Mes:JULHO
0.0659,Mes:JUNHO
0.0699,Mes:MAIO
0.1011,Mes:MARÇO
0.0803,Mes:NOVEMBRO
0.0836,Mes:OUTUBRO
0.0788,Mes:SETEMBRO
0.2530,Nivel_dano:LEVE
0.5106,Nivel_dano:NENHUM
0.1742,Nivel_dano:SUBSTANCIAL
0.1649,Tipo:COLISÃO COM AVE
0.0617,Tipo:ESTOURO DE PNEU
0.0775,Tipo:FALHA DO MOTOR EM VOO
0.2150,Tipo:FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
0.0516,Tipo:PERDA DE CONTROLE NO SOLO
0.0837,UF:MG
0.0676,UF:PR
0.1043,UF:RJ
0.0531,UF:RS
0.2479,UF:SP
0.0729,Faixa_horaria:MADRUGADA + Nivel_dano:NENHUM
0.0931,Faixa_horaria:MANHÃ + Nivel_dano:NENHUM
0.0547,Faixa_horaria:NOITE + Fase_operacao:DECOLAGEM
0.0706,Faixa_horaria:NOITE + Fase_operacao:POUSO
0.0861,Faixa_horaria:NOITE + Nivel_dano:LEVE
0.1573,Faixa_horaria:NOITE + Nivel_dano:NENHUM
0.0626,Faixa_horaria:NOITE + Nivel_dano:SUBSTANCIAL
0.0509,Faixa_horaria:NOITE + Tipo:COLISÃO COM AVE
0.0600,Faixa_horaria:NOITE + Tipo:FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
0.0795,Faixa_horaria:NOITE + UF:SP
0.0658,Faixa_horaria:TARDE + Fase_operacao:CRUZEIRO
0.0717,Faixa_horaria:TARDE + Fase_operacao:DECOLAGEM
0.0819,Faixa_horaria:TARDE + Fase_operacao:POUSO
0.1184,Faixa_horaria:TARDE + Nivel_dano:LEVE
0.1873,Faixa_horaria:TARDE + Nivel_dano:NENHUM
0.0838,Faixa_horaria:TARDE + Nivel_dano:SUBSTANCIAL
0.0571,Faixa_horaria:TARDE + Tipo:COLISÃO COM AVE
0.0776,Faixa_horaria:TARDE + Tipo:FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
0.0982,Faixa_horaria:TARDE + UF:SP
0.1079,Fase_operacao:CRUZEIRO + Nivel_dano:NENHUM
0.0669,Fase_operacao:CRUZEIRO + Tipo:FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
0.0861,Fase_operacao:DECOLAGEM + Nivel_dano:NENHUM
0.0682,Fase_operacao:POUSO + Nivel_dano:LEVE
0.0883,Fase_operacao:POUSO + Nivel_dano:NENHUM
0.0524,Fase_operacao:POUSO + Tipo:COLISÃO COM AVE
0.0537,Fase_operacao:SUBIDA + Nivel_dano:NENHUM
0.0526,Mes:FEVEREIRO + Nivel_dano:NENHUM
0.0540,Mes:JANEIRO + Nivel_dano:NENHUM
0.0541,Mes:MARÇO + Nivel_dano:NENHUM
0.0615,Nivel_dano:LEVE + Tipo:COLISÃO COM AVE
0.0669,Nivel_dano:LEVE + UF:SP
0.1019,Nivel_dano:NENHUM + Tipo:COLISÃO COM AVE
0.1794,Nivel_dano:NENHUM + Tipo:FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
0.0717,Nivel_dano:NENHUM + UF:RJ
0.1340,Nivel_dano:NENHUM + UF:SP
0.0634,Tipo:FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE + UF:SP
0.0624,Faixa_horaria:TARDE + Nivel_dano:NENHUM + Tipo:FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
0.0632,Fase_operacao:CRUZEIRO + Nivel_dano:NENHUM + Tipo:FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
0.0552,Nivel_dano:NENHUM + Tipo:FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE + UF:SP
